title,id,release_year,main_character_name,main_character_gender,country,main_character_role
Run Lola Run,tt0130827,1998,Franka Potente,Female,Germany,responsible
Aimee & Jaguar,tt0130444,1999,Maria Schrader,Female,Germany,officer
Nekromantik 2,tt0102522,1991,Monika M.,Male,Germany,gravedigger
Backbeat,tt0106339,1994,Sheryl Lee,Female,Germany,photographer
Gloomy Sunday,tt0155722,1999,Erika Marozsán,Female,Germany,restaurant
"Faraway, So Close!",tt0107209,1993,Otto Sander,Male,Germany,armor
"Manta, Manta",tt0102397,1991,Til Schweiger,Male,Germany,driver
Lisbon Story,tt0110361,1994,Rüdiger Vogler,Male,Germany,engineer
Beyond Silence,tt0116692,1996,Sylvie Testud,Female,Germany,musician
Schtonk,tt0105328,1992,Götz George,Male,Germany,journalist
Bandits,tt0118682,1997,Katja Riemann,Female,Germany,bandleader
A French Woman,tt0114790,1995,Emmanuelle Béart,Female,Germany,officer
Rossini,tt0120037,1997,Götz George,Male,Germany,director
Calendar,tt0106504,1993,Arsinée Khanjian,Female,Germany,translator
The Tigress,tt0105593,1992,Valentina Vargas,Female,Germany,career
The Deathmaker,tt0114704,1995,Götz George,Male,Germany,professor
Go Trabi Go,tt0101960,1991,Wolfgang Stumph,Male,Germany,german teacher
00 Schneider - Jagd auf Nihil Baxter,tt0109000,1994,Helge Schneider,Male,Germany,dr.
Enlightenment Guaranteed,tt0177749,1999,Uwe Ochsenknecht,Male,Germany,real estate agent
Die Braut,tt0177572,1999,Veronica Ferres,Female,Germany,writer
Everything Will Be Fine,tt0156523,1998,Kati Stüdemann,Male,Germany,housekeeper
Little Sharks,tt0107330,1992,Jürgen Vogel,Male,Germany,acting
The Einstein of Sex,tt0161542,1999,Kai Schumann,Male,Germany,physician
54 Stunden Angst: Das Geiseldrama von Gladbeck,tt12032542,1998,Henning Quanz,Male,Germany,presenter
Das Mädchen aus dem Fahrstuhl,tt0483086,1991,Barbara Sommer,Male,Germany,grade
Harry and Harriet,tt0099613,1990,Petra Wagner,Male,Germany,therapist
Via Appia,tt0100865,1989,Peter Senner,Male,Germany,steward
Jailbirds,tt0117135,1996,Til Schweiger,Male,Germany,career
After the Truth,tt0178223,1999,Kai Wiesinger,Male,Germany,solicitor
Long Hello and Short Goodbye,tt0139429,1999,Nicolette Krebitz,Female,Germany,agent
Violent Shit II,tt0105759,1992,Anke Prothmann,Male,Germany,butcher
Making Up!,tt0106209,1993,Katja Riemann,Female,Germany,cartoonist
Violent Shit III: Infantry of Doom,tt0203185,1999,Andreas Schnaas,Male,Germany,butcher
"Happy Birthday, Türke!",tt0102000,1992,Hansa Czypionka,Male,Germany,detective
Streetchild,tt0101967,1991,Max Kellermann,Male,Germany,prostitute
14 Days to Life,tt0118529,1997,Kai Wiesinger,Male,Germany,lawyer
Praxis Dr. Hasenbein,tt0119932,1997,Helge Schneider,Male,Germany,dr.
Das Urteil,tt0159086,1997,Klaus Löwitsch,Male,Germany,dealer
The Hunchback of Notre Dame,tt9799878,1996,Nicole Zimmer,Female,Germany,narrator
Der Trip,tt0114730,1996,Dieter Thomas Kuhn,Male,Germany,career
Doktor Knock,tt0134621,1997,Gert Voss,Male,Germany,dr.
Abendland,tt0124811,1999,Adolfo Assor,Male,Germany,founder
Deine besten Jahre,tt0211329,1999,Martina Gedeck,Female,Germany,heiress
The True Story About Men and Women,tt0105779,1992,Sonja Kirchberger,Female,Germany,therapist
Ebbies Bluff,tt0106791,1993,Anthony Arndt,Male,Germany,speaker
Romantic Fighter,tt0173138,1999,Christian Oliver,Male,Germany,fighter
Vergewaltigt - Die Wahrheit und andere Lügen,tt0120438,1997,Jan Josef Liefers,Male,Germany,lawyer
Inzest - Ein Fall für Sina Teufel,tt0171405,1996,Renan Demirkan,Female,Germany,dr.
Die heilige Hure,tt0134714,1997,Susanna Simon,Female,Germany,dr.
Gegen den Strom,tt0119180,1997,Ben Becker,Male,Germany,officer
The Truth Shall Make Us Free,tt2145985,1991,Ewald Althans,Male,Germany,leader
Hades,tt0113244,1995,Herbert Achternbusch,Male,Germany,coffin maker
The Musicians of Bremen,tt4591728,1997,Armin Drogat,Male,Germany,musician
Karakum,tt0107306,1994,Max Kullmann,Male,Germany,engineer
"Nights, Gambled Away",tt0129525,1997,Jasmin Tabatabai,Female,Germany,dancer
Hans im Glück,tt0164630,1999,Andreas Bieber,Male,Germany,apprentice
Luise knackt den Jackpot,tt0211650,1995,Marianne Sägebrecht,Female,Germany,butler
Ginevra,tt0104341,1994,Amanda Ooms,Female,Germany,king
Alphamann: Amok,tt0202221,1999,Hannes Jaenicke,Male,Germany,therapist
Fröhliche Chaoten,tt0156547,1998,Uschi Glas,Female,Germany,dr.
The Men's Choir,tt0107307,1992,Ragnhildur Gísladóttir,Male,Germany,director
Gates of Fire,tt0117941,1996,Götz George,Male,Germany,agent
The Piano Teacher,tt0254686,2001,Isabelle Huppert,Female,Germany,professor
Bend It Like Beckham,tt0286499,2002,Parminder Nagra,Female,Germany,newspaper
Charlie's Angels,tt0160127,2000,Cameron Diaz,Female,Germany,cook
Black Book,tt0389557,2006,Carice van Houten,Female,Germany,singer
The Wave,tt1063669,2008,Jürgen Vogel,Male,Germany,history teacher
Good Bye Lenin!,tt0301357,2003,Daniel Brühl,Male,Germany,driver
The White Ribbon,tt1149362,2009,Christian Friedel,Male,Germany,school teacher
The Baader Meinhof Complex,tt0765432,2008,Martina Gedeck,Female,Germany,journalist
Anatomy,tt0187696,2000,Franka Potente,Female,Germany,professor
Poison,tt0241251,2000,Rosanna Arquette,Female,Germany,actress
Berlin Calling,tt0211946,2008,Paul Kalkbrenner,Male,Germany,producer
As Far as My Feet Will Carry Me,tt0277327,2001,Bernhard Bettermann,Male,Germany,soldier
Mostly Martha,tt0246772,2001,Martina Gedeck,Female,Germany,restaurant
The Princess and the Warrior,tt0203632,2000,Franka Potente,Female,Germany,guard
Breaking the Surface,tt0768171,2006,Henriette Heinze,Female,Germany,photographer
Rabbit Without Ears,tt0960790,2007,Til Schweiger,Male,Germany,reporter
Everyone Else,tt1204773,2009,Lars Eidinger,Male,Germany,architect
Fantômes,tt0419773,2005,Julia Hummer,Female,Germany,cleaner
"Cherry Blossoms, un rêve japonais",tt0910559,2008,Elmar Wepper,Male,Germany,dancer
Romy Schneider,tt1210101,2009,Jessica Schwarz,Female,Germany,actress
Bungalow,tt0309404,2002,Lennie Burmeister,Male,Germany,restaurant
Hotel,tt0415855,2004,Franziska Weisz,Female,Germany,maid
Der Wixxer,tt0313021,2004,Oliver Kalkofe,Male,Germany,inspector
Stille Post,tt1298608,2008,Ursula Karven,Female,Germany,teacher
Storm,tt0768239,2009,Kerry Fox,Female,Germany,commander
Same Same But Different,tt1368443,2009,Apinya Sakuljaroensuk,Female,Germany,prostitute
Montag,tt0477038,2006,Isabelle Menke,Male,Germany,doctor
La rançon du bonheur,tt0337964,2002,Suzanne von Borsody,Female,Germany,school teacher
Berlin '36,tt1298540,2009,Karoline Herfurth,Female,Germany,jumper
Big Girls Don't Cry,tt0291213,2002,Anna Maria Mühe,Female,Germany,pornographer
The Forest for the Trees,tt0386862,2003,Eva Löbau,Female,Germany,school teacher
Marlene,tt0192295,2000,Katja Flint,Female,Germany,actress
Freche Mädchen,tt1224151,2008,Emilia Schüle,Female,Germany,german teacher
33 Scenes from Life,tt1263736,2008,Julia Jentsch,Female,Germany,composer
"If It Don't Fit, Use a Bigger Hammer",tt0278815,2002,Willi Thomczyk,Male,Germany,contractor
Schultze Gets the Blues,tt0388395,2003,Horst Krause,Male,Germany,player
"Lila, Lila",tt1239449,2009,Daniel Brühl,Male,Germany,waiter
Jester Till,tt0377119,2003,Mario Adorf,Male,Germany,mayor
Die Eltern der Braut,tt0400401,2003,Gaby Dohm,Female,Germany,manager
The Flying Classroom,tt0311141,2003,Ulrich Noethen,Male,Germany,dr.
A Friend of Mine,tt0441762,2006,Daniel Brühl,Male,Germany,executive
What to Do in Case of Fire,tt0207198,2001,Til Schweiger,Male,Germany,broker
Ein Engel und Paul,tt0304626,2002,Eva Haßmann,Female,Germany,lawyer
Summer '04,tt0806679,2006,Martina Gedeck,Female,Germany,responsible
Marseille,tt0360779,2004,Maren Eggert,Female,Germany,photographer
"Love, Money, Love",tt0203297,2000,Sabine Timoteo,Female,Germany,worker
Affäre zu dritt,tt0349070,2003,Sophie von Kessel,Female,Germany,doctor
Emma's Bliss,tt0424992,2006,Jördis Triebel,Female,Germany,farmer
A Good Boy,tt1205492,2008,Klaus J. Behrendt,Male,Germany,driver
The Vexxer,tt0446009,2007,Oliver Kalkofe,Male,Germany,inspector
Führer Ex,tt0329106,2002,Aaron Hildebrand,Male,Germany,model
Das beste Stück,tt0338780,2002,Jan Sosniok,Male,Germany,therapist
Momo,tt0299040,2001,Erica Necci,Female,Germany,master
Hitler & Stalin - Portrait of Hostility,tt1401124,2009,Frank Arnold,Male,Germany,speaker
Fuck Me? Fuck You!,tt0427275,2004,Natalie O'Hara,Female,Germany,career
