title,release_year,main_character_name,main_character_gender,country
El televisor,1962,Ubaldo Martínez,Male,Argentina
Rumbos malditos,1962,Carlos Cores,Male,Argentina
El novicio rebelde,1968,Jacques Arndt,Male,Argentina
Usted se casa conmigo,1964,Maurice Jouvet,Male,Argentina
"Buenos Aires, verano 1912",1966,Augusto Bonardo,Male,Argentina
Santos Vega,1971,José Larralde,Male,Argentina
"Amalio Reyes, un hombre",1970,Juan Alighieri,Male,Argentina
"Vida, pasión y muerte de un realizador iracundo",1971,Hugo del Piano,Male,Argentina
The Stepmother,1960,María Concepción César,Female,Argentina
El regreso,1963,Lautaro Murúa,Male,Argentina
La fin del mundo,1963,Alberto Barcel,Male,Argentina
El mago de las finanzas,1962,José Marrone,Male,Argentina
La isla de los dibujos,1976,Horacio Bruno,Male,Argentina
Mannequín... alta tensión,1972,Silvia Albizu,Female,Argentina
"El bote, el río y la gente",1960,Silvia Legrand,Female,Argentina
Los físicos,1972,Pablo Codevila,Male,Argentina
Los acosados,1960,Pablo Acciardi,Male,Argentina
La maestra enamorada,1961,Lolita Torres,Female,Argentina
El cantor enamorado,1969,Jorge Cafrune,Male,Argentina
A orillas del gran silencio,1966,Daniel de Alvarado,Male,Argentina
La revolución,1973,Federico Luppi,Male,Argentina
Las dos culpas de Bettina,1975,Marcelle Marcell,Male,Argentina
El divorcio está de moda - de común acuerdo,1978,Gilda Lousek,Female,Argentina
Villa Cariño,1967,Roberto Airaldi,Male,Argentina
Miedo a quererte,1973,Aldo Barbero,Male,Argentina
Los pequeños aventureros,1977,Mariana Baigun,Male,Argentina
"Canuto Cañete, detective privado",1965,Roberto Airaldi,Male,Argentina
Proceso a una mujer libre,1973,Alejandro Anderson,Male,Argentina
Crimen,1962,Sergio Mulet,Male,Argentina
Los contrabandistas,1967,Federico Luppi,Male,Argentina
Alias Flequillo,1963,José Marrone,Male,Argentina
¿Cuando da Usted por el conde?,1966,Susana Beltrán,Female,Argentina
Los taitas,1968,Lito Cruz,Male,Argentina
Millonarios a la fuerza,1979,Juan Carlos de Seta,Male,Argentina
Allá donde el viento brama,1963,Fanny Navarro,Female,Argentina
Cristóbal Colón en la facultad de medicina,1962,José Marrone,Male,Argentina
Este 'milagro' llamado Racing,1967,Sergio Renán,Male,Argentina
"Nuestro safari, de la selva y fauna argentina",1969,Ernesto Bianco,Male,Argentina
Ellos dos y alguién más,1962,Ana María Cachito,Female,Argentina
Mal de chagas,1971,Luis Medina Castro,Male,Argentina
Mi hijo Ceferino Namuncurá,1972,Olga Zubarry,Female,Argentina
La industria del matrimonio,1965,Tita Merello,Female,Argentina
Don't Be Weak with Life,1975,Palito Ortega,Male,Argentina
El juicio de Dios,1979,Horacio Bruno,Male,Argentina
El alma encantada,1972,Alejandro Anderson,Male,Argentina
Huellas del diablo,1962,Narciso Ibáñez Menta,Male,Argentina
The Official Story,1985,Héctor Alterio,Male,Argentina
Waiting for the Hearse,1985,Luis Brandoni,Male,Argentina
The Dark Side of the Heart,1992,Darío Grandinetti,Male,Argentina
Eine unmögliche Liebe,1980,Héctor Alterio,Male,Argentina
Happy Highschool,1986,Susana Traverso,Female,Argentina
The South,1988,Susú Pecoraro,Female,Argentina
Keep Waiting for Me,1983,Víctor Laplace,Male,Argentina
Camila,1984,Susú Pecoraro,Female,Argentina
Man Facing Southeast,1986,Lorenzo Quinteros,Male,Argentina
Kindergarten,1989,Graciela Borges,Female,Argentina
Tango,1998,Miguel Ángel Solá,Male,Argentina
In the Name of the Son,1987,Margot Moreyra,Female,Argentina
Martín (Hache),1997,Federico Luppi,Male,Argentina
Moebius,1996,Guillermo Angelelli,Male,Argentina
Junta,1999,Antonella Costa,Female,Argentina
I Don't Owe 100 Times,1990,Norma Aleandro,Female,Argentina
El arreglo,1983,Federico Luppi,Male,Argentina
"The Same Love, the Same Rain",1999,Ricardo Darín,Male,Argentina
A los cirujanos se les va la mano,1980,Alberto Olmedo,Male,Argentina
Wild Tango,1993,Fernán Mirás,Male,Argentina
Autumn Sun,1996,Norma Aleandro,Female,Argentina
Eva Peron: The True Story,1996,Esther Goris,Female,Argentina
The Night of the Pencils,1986,Alejo García Pintos,Male,Argentina
"Pizza, Beer, and Cigarettes",1998,Héctor Anglada,Male,Argentina
"I, the Worst of All",1990,Assumpta Serna,Female,Argentina
Locos por la música,1980,Graciela Alfano,Female,Argentina
Time for Revenge,1981,Federico Luppi,Male,Argentina
"Tangos, the Exile of Gardel",1985,Marie Laforêt,Female,Argentina
Funny Dirty Little War,1983,Federico Luppi,Male,Argentina
Días de ilusión,1980,Andrea Del Boca,Female,Argentina
The Insatiable Widow,1984,Isabel Sarli,Female,Argentina
Silvia Prieto,1999,Rosario Bléfari,Female,Argentina
Miss Mary,1986,Julie Christie,Female,Argentina
Ashes of Paradise,1997,Héctor Alterio,Male,Argentina
City of God,1997,Mabel Dai,Male,Argentina
"Gatica, the Monkey",1993,Edgardo Nieva,Male,Argentina
A King and His Movie,1986,Ulises Dumont,Male,Argentina
Foolish Heart,1998,Miguel Ángel Solá,Male,Argentina
Atracción peculiar,1988,Alberto Olmedo,Male,Argentina
State of Reality,1984,Luis Brandoni,Male,Argentina
The Lighthouse,1998,Ingrid Rubio,Female,Argentina
Wild Horses,1995,Héctor Alterio,Male,Argentina
Las minas de Salomón Rey,1986,Tristán,Male,Argentina
Plata dulce,1982,Federico Luppi,Male,Argentina
Heroes Dream,1996,Germán Palacios,Male,Argentina
The Journey,1992,Walter Quiroz,Male,Argentina
Bolivia,1999,Freddy Flores,Male,Argentina
Poor Butterfly,1986,Graciela Borges,Female,Argentina
Killing Grandpa,1993,Federico Luppi,Male,Argentina
Condemned to Hell,1984,Leonor Benedetto,Female,Argentina
Mord im Senat,1984,Pepe Soriano,Male,Argentina
Last Days of the Victim,1982,Federico Luppi,Male,Argentina
Verhängnisvolle Rache,1987,Arturo Bonín,Male,Argentina
Nobody's Wife,1982,Luisina Brando,Female,Argentina
Das tödliche Inserat,1985,Rodolfo Ranni,Male,Argentina
Wind with the Gone,1998,Vera Fogwill,Female,Argentina
Another Love Story,1986,Arturo Bonín,Male,Argentina
Los extraterrestres,1983,Alberto Olmedo,Male,Argentina
Yepeto,1999,Ulises Dumont,Male,Argentina
Operación Fangio,1999,Darío Grandinetti,Male,Argentina
Manuelita,1999,Rosario Sánchez Almada,Male,Argentina
Unpredictable Guy,1980,Héctor Alterio,Male,Argentina
Las mujeres son cosa de guapos,1981,Jorge Porcel,Male,Argentina
Camarero nocturno en Mar del Plata,1986,Tristán,Male,Argentina
"Stirb nicht, ohne mir zu sagen, wohin Du gehst",1995,Darío Grandinetti,Male,Argentina
Don't Bust My Bed,1980,Jorge Porcel,Male,Argentina
Buenos Aires Vice Verse,1996,Vera Fogwill,Female,Argentina
Made in Argentina,1987,Luis Brandoni,Male,Argentina
Cropped Head,1992,Ezequiel Cavia,Male,Argentina
Tangos Are for Two,1997,Darío Grandinetti,Male,Argentina
Sucedió en el internado,1985,María Valenzuela,Female,Argentina
Last Images of the Shipwreck,1989,Lorenzo Quinteros,Male,Argentina
Historias Breves 3,1999,Oscar Alegre,Male,Argentina
Strange Wild Women,1988,Víctor Laplace,Male,Argentina
Summer of the Colt,1989,Héctor Alterio,Male,Argentina
High Class Affair,1985,Camila Perissé,Female,Argentina
Anahy de las Misiones,1997,Araci Esteves,Male,Argentina
La clínica del Dr. Cureta,1987,Gianni Lunadei,Male,Argentina
El telo y la tele,1985,Luisa Albinoni,Female,Argentina
The Beach of Love,1980,Alejandra Aquino,Male,Argentina
So Feared a Hell,1980,Graciela Borges,Female,Argentina
Che,1997,Emilia Mazer,Female,Argentina
Mafalda,1982,Susana Klein,Male,Argentina
To the Victory at Last,1997,José Luis Alfonzo,Male,Argentina
The Tombs,1991,Norma Aleandro,Female,Argentina
El señor Galíndez,1984,Héctor Alterio,Male,Argentina
Pasajeros de una pesadilla,1984,Federico Luppi,Male,Argentina
Comandos azules,1980,Silvia Arazi,Female,Argentina
The Lady Is Back,1996,Isabel Sarli,Female,Argentina
"Funes, a Great Love",1993,Graciela Borges,Female,Argentina
In Retirement,1984,Rodolfo Ranni,Male,Argentina
Perdido por perdido,1993,Ricardo Darín,Male,Argentina
Cohen vs. Rosi,1998,Adrián Suar,Male,Argentina
La casa de las siete tumbas,1982,Soledad Silveyra,Female,Argentina
"Enfermero de día, camarero de noche",1990,Tristán,Male,Argentina
Monzon Case: Second Trial,1996,Norma Aleandro,Female,Argentina
The Dammed Rib,1999,Susana Giménez,Female,Argentina
Habeas Corpus,1986,Jorge Díez,Male,Argentina
La noche viene movida,1980,Tristán,Male,Argentina
Crane World,1999,Luis Margani,Male,Argentina
Extermineitors 4: Como Hermanos Gemelos,1992,Guillermo Francella,Male,Argentina
Maestro de pala,1994,Tristán,Male,Argentina
The Revenge,1999,Diego Torres,Male,Argentina
Historias Breves 1,1996,Martín Adjemián,Male,Argentina
At the Edge of the Law,1992,Rodolfo Ranni,Male,Argentina
The Impostor,1997,Antonio Birabent,Male,Argentina
A Quack in Need,1987,Alberto Olmedo,Male,Argentina
Alma mía,1999,Araceli González,Female,Argentina
Abierto día y noche,1981,Juan Carlos Calabró,Male,Argentina
Ever Changing Waters,1998,Jorge Marrale,Male,Argentina
Brigada explosiva,1986,Moria Casán,Female,Argentina
Life According to Muriel,1997,Soledad Villamil,Female,Argentina
¡Qué linda es mi familia!,1980,Luis Sandrini,Male,Argentina
An Argentinian in New York,1998,Guillermo Francella,Male,Argentina
A Shadow You Soon Will Be,1994,Miguel Ángel Solá,Male,Argentina
Los amores de Laurita,1986,Alicia Zanca,Female,Argentina
The Day Maradona Met Gardel,1996,Isidoro Chiodi,Male,Argentina
Lo que vendrá,1988,Hugo Soto,Male,Argentina
A Wall of Silence,1993,Vanessa Redgrave,Female,Argentina
Dibu: The Movie,1997,Germán Kraus,Male,Argentina
La clínica loca,1988,Gerardo Romano,Male,Argentina
The Things of Love: Part 2,1995,Ángela Molina,Female,Argentina
Diary for a Tale,1998,Germán Palacios,Male,Argentina
El año del conejo,1987,Luisina Brando,Female,Argentina
"Facundo, the Tiger's Shadow",1995,Lito Cruz,Male,Argentina
High Heels,1985,Susú Pecoraro,Female,Argentina
Secret Wedding,1989,Tito Haas,Male,Argentina
The Act in Question,1993,Carlos Roffé,Male,Argentina
Brigada explosiva contra los ninjas,1986,Moria Casán,Female,Argentina
El largo viaje de Nahuel Pan,1995,Alberto Segado,Male,Argentina
El mar de Lucas,1999,Víctor Laplace,Male,Argentina
Deadly Revenge,1983,Rodolfo Ranni,Male,Argentina
Perros de la noche,1986,Emilio Bardi,Male,Argentina
Los reyes del sablazo,1984,Alberto Olmedo,Male,Argentina
Wake Up Love,1996,Juan Leyrado,Male,Argentina
Buen viaje,1991,Miguel Fontes,Male,Argentina
The Girlfriend,1988,Liv Ullmann,Female,Argentina
Laura: The Rebel Years,1994,Massimo Dapporto,Male,Argentina
Nach dem Sturm,1990,José Andrada,Male,Argentina
"Un ladrón, un violador y dos mujeres",1991,Marcela Labarca,Male,Argentina
Despertar de pasiones,1994,Silvia Peyrou,Female,Argentina
Bárbara,1980,Raffaella Carrà,Female,Argentina
Knocks at My Door,1993,Verónica Oddó,Male,Argentina
Kisses on the Forehead,1996,Leonardo Sbaraglia,Male,Argentina
Las esclavas,1987,Rodolfo Ranni,Male,Argentina
"Aphrodite, the Garden of the Perfumes",1998,Issa Coulibaly,Male,Argentina
Heißer Mond,1985,Federico Luppi,Male,Argentina
The Old Music,1985,Federico Luppi,Male,Argentina
Fading Memories,1999,Federico Luppi,Male,Argentina
Una viuda descocada,1980,Isabel Sarli,Female,Argentina
Sobredosis,1986,Federico Luppi,Male,Argentina
"Susana quiere, el negro también",1987,Alberto Olmedo,Male,Argentina
Corrupt Police,1996,Gerardo Romano,Male,Argentina
Los fierecillos indomables,1982,Alberto Olmedo,Male,Argentina
"Bairoletto, la aventura de un rebelde",1985,Luisina Brando,Female,Argentina
Six Tickets to Hell,1981,Hilda Bernard,Female,Argentina
From the Abyss,1980,Thelma Biral,Female,Argentina
Take a Look at My Little Bird,1985,Alberto Olmedo,Male,Argentina
La edad del sol,1999,Soledad Pastorutti,Female,Argentina
Las lobas,1986,Leonor Benedetto,Female,Argentina
Fears,1980,Pablo Brichta,Male,Argentina
The Last Harvest,1991,Patricio Contreras,Male,Argentina
Sentimental,1981,Sergio Renán,Male,Argentina
Die geheimen Gärten des Senor Lopez,1988,Lorenzo Quinteros,Male,Argentina
Historias Breves III: Nostalgia en la mesa 8,1999,Oscar Alegre,Male,Argentina
Revancha de un amigo,1987,Luisa Kuliok,Female,Argentina
Sotto Voce,1996,Lito Cruz,Male,Argentina
Mingo y Aníbal contra los fantasmas,1985,Juan Carlos Altavista,Male,Argentina
Delito de corrupción,1991,Rodolfo Ranni,Male,Argentina
El desvío,1998,Pablo Echarri,Male,Argentina
Gran valor,1980,Noemí Alan,Female,Argentina
Los hijos de López,1980,Alberto Martín,Male,Argentina
Grey Fire,1994,Cristina Banegas,Female,Argentina
Labios de churrasco,1994,Fabián Vena,Male,Argentina
"Inex, la sombra de la verdad",1997,Gastón Pauls,Male,Argentina
"Goodbye, Grandfather",1996,Jairo,Male,Argentina
A Crysanthemum Bursts in Cincoesquinas,1998,José Luis Alfonzo,Male,Argentina
Romeo y Julieta,1981,Daniel Fanego,Male,Argentina
El poder de la censura,1983,Víctor Laplace,Male,Argentina
La canción de Buenos Aires,1980,Manuela Bravo,Female,Argentina
Die Liebe einer dicken Frau,1987,Elio Marchi,Male,Argentina
The Underground Man,1981,Antonio Ber Ciani,Male,Argentina
Feines Pulver,1996,Belén Blanco,Female,Argentina
Two Crazy Privates,1986,Alberto Olmedo,Male,Argentina
Geisha,1996,Ana Álvarez,Female,Argentina
The Cheat,1996,Luis Brandoni,Male,Argentina
Guerriers et captives,1990,Dominique Sanda,Female,Argentina
Cosa de locos,1981,Palito Ortega,Male,Argentina
"Ico, the Brave Horse",1983,Susana Klein,Male,Argentina
New Hope,1996,Pepe Soriano,Male,Argentina
Los líos de Estefanía,1983,Carmen Villani,Female,Argentina
Under Flag,1997,Miguel Ángel Solá,Male,Argentina
Soul's Square,1997,Olga Zubarry,Female,Argentina
Der Untergang der 'Rosales',1984,Héctor Alterio,Male,Argentina
De la misteriosa Buenos Aires,1981,Paulino Andrada,Male,Argentina
Extermineitors 3: La gran pelea final,1991,Guillermo Francella,Male,Argentina
Little Miracles,1997,Héctor Alterio,Male,Argentina
Nunca estuve en Viena,1989,China Zorrilla,Female,Argentina
Cops,1997,Carlos Calvo,Male,Argentina
Paraíso relax,1988,Gerardo Baamonde,Male,Argentina
Dreams from the Middle of the World,1999,Héctor Alterio,Male,Argentina
El camino de los sueños,1993,Víctor Laplace,Male,Argentina
Stolen Moments,1997,Pepe Soriano,Male,Argentina
The Loves of Kafka,1988,Susú Pecoraro,Female,Argentina
Gerónima,1986,Luisa Calcumil,Female,Argentina
Alguien te está mirando,1988,Marisa Ferrari,Male,Argentina
La furia,1997,Diego Torres,Male,Argentina
Veredicto final,1996,Arturo Bonín,Male,Argentina
The Salt in the Wound,1996,Darío Grandinetti,Male,Argentina
Prontuario de un argentino,1987,Juan Beceiro,Male,Argentina
Dios los cría,1991,Soledad Silveyra,Female,Argentina
Bésame mortalmente,1990,Noëlle Balfour,Female,Argentina
Diablo metió la pata,1980,María Aurelia Bisutti,Female,Argentina
Un terceto peculiar,1982,Jorge Porcel,Male,Argentina
Gran valor en la facultad de medicina,1981,Juan Carlos Calabró,Male,Argentina
Un elefante en banda,1990,Manuel Mendy,Male,Argentina
La invitación,1982,Rodolfo Bebán,Male,Argentina
Te rompo el rating,1981,Jorge Porcel,Male,Argentina
Houses of Fire,1995,Harry Havilio,Male,Argentina
Bajo el poder de la garra maldita,1995,Berta Muñiz,Male,Argentina
Dibu 2: La venganza de Nasty,1998,Mauricio Dayub,Male,Argentina
"Adiós, Roberto",1985,Carlos Calvo,Male,Argentina
Yellow Flowers in the Window,1996,Arturo Bonín,Male,Argentina
Las barras bravas,1985,Tita Merello,Female,Argentina
Shared Department,1980,Alberto Olmedo,Male,Argentina
La ciudad oculta,1989,María Vaner,Female,Argentina
The Sacred Family,1988,Ariel Bonomi,Male,Argentina
After All It's Only Life,1993,Gerardo Romano,Male,Argentina
Night Serenaders,1997,Betiana Blum,Female,Argentina
There's Some Guys Downstairs,1985,Emilio Alfaro,Male,Argentina
Mingo y Aníbal en la mansión embrujada,1986,Juan Carlos Altavista,Male,Argentina
"Mingo y Anibal, dos pelotazos en contra",1984,Juan Carlos Altavista,Male,Argentina
El general y la fiebre,1993,Rubén Stella,Male,Argentina
"Seré cualquier cosa, pero te quiero",1986,Alberto Busaid,Male,Argentina
Todo o nada,1984,Silvia Montanari,Female,Argentina
Heartbreakers,1992,Jorge Sassi,Male,Argentina
Lola Mora,1996,Leonor Benedetto,Female,Argentina
"Where Are You My Love, That I Cannot Find You?",1992,Susú Pecoraro,Female,Argentina
Two Crazy Privates III,1987,Alberto Olmedo,Male,Argentina
Los pasajeros del jardín,1982,Arturo Bonín,Male,Argentina
Multiple Lovers,1981,Alberto Olmedo,Male,Argentina
Sin querer,1997,Norman Briski,Male,Argentina
Under the Earth,1987,Paula Canals,Female,Argentina
Los espíritus patrióticos,1989,Ana María Caso,Male,Argentina
Los fierecillos se divierten,1983,Alberto Olmedo,Male,Argentina
Long Live the Hobos,1995,Oscar Mendy,Male,Argentina
The Absentee,1996,Ricardo Bertone,Male,Argentina
A School Teacher,1996,Carolina Fal,Female,Argentina
Clandestine Stories in Havana,1997,Susú Pecoraro,Female,Argentina
Nadie nada nunca,1988,Alicia Dolinski,Female,Argentina
El profesor Punk,1988,Jorge Porcel,Male,Argentina
El hombre que ganó la razón,1986,Rubén Aldao,Male,Argentina
Sálvese quien pueda,1984,Alberto Olmedo,Male,Argentina
El color escondido,1988,Carola Reyna,Female,Argentina
El bromista,1981,Santiago Bal,Male,Argentina
The Angry Toy,1984,Pablo Cedrón,Male,Argentina
1000 Boomerangs,1995,Valeria Bertuccelli,Female,Argentina
Peligro nuclear,1999,Víctor Laplace,Male,Argentina
The Angel Face,1998,Virginia Innocenti,Female,Argentina
¿Donde queda el paraíso?,1993,Cecilia Dopazo,Female,Argentina
"Sin querer, queriendo",1985,Elvia Andreoli,Female,Argentina
Ritmo a todo color,1980,Silvia Arazi,Female,Argentina
Historias Breves I: Ojos de fuego,1995,Erasmo Olivera,Male,Argentina
Dead King,1995,Roly Serrano,Male,Argentina
Standard,1989,Libertad Leblanc,Female,Argentina
Volver,1982,Héctor Alterio,Male,Argentina
Héroes y demonios,1999,Pablo Echarri,Male,Argentina
Punto muerto,1998,Federico D'Elía,Male,Argentina
The Fridays of Eternity,1981,Thelma Biral,Female,Argentina
Momentos,1981,Graciela Dufau,Female,Argentina
La cruz invertida,1985,Oscar Martínez,Male,Argentina
El caso María Soledad,1993,Ana Acosta,Female,Argentina
The Golden Condor,1996,Ulises Dumont,Male,Argentina
La cruz,1997,Norman Briski,Male,Argentina
The Quiet Swimmer,1998,Diego Starosta,Male,Argentina
Seguridad personal,1986,Rodolfo Bebán,Male,Argentina
Diapasón,1986,José María Gutiérrez,Male,Argentina
Tropique du crabe,1986,Juan Leyrado,Male,Argentina
Amor de otoño,1996,Héctor Gióvine,Male,Argentina
The World Against Me,1996,Mirta Busnelli,Female,Argentina
Sentimientos: Mirta de Liniers a Estambul,1987,Emilia Mazer,Female,Argentina
The Mouses (the Reluctant),1998,Alberto Argibay,Male,Argentina
Algunas mujeres,1992,Soledad Silveyra,Female,Argentina
La familia Peterson,1999,Alejandro Fadel,Male,Argentina
Mburucuyá: Portraits of Nature,1991,Ariel Kupfer,Male,Argentina
Juego perverso,1984,Paulino Andrada,Male,Argentina
Two Crazy Privates II,1986,Nelly Beltrán,Female,Argentina
El amateur,1999,Mauricio Dayub,Male,Argentina
Flores robadas en los jardines de Quilmes,1985,Soledad Silveyra,Female,Argentina
"Chechechela, una chica de barrio",1986,Víctor Laplace,Male,Argentina
Beyond the Limit,1995,Mario Pasik,Male,Argentina
Sofía,1987,Dora Baret,Female,Argentina
Graciadió,1997,Gustavo Prone,Male,Argentina
